addr	size	mangled	demangled
080753d0	298	_ZN9KItemList12LoadMaterialEiii	KItemList::LoadMaterial(int,int,int)
08075500	325	_ZN9KItemList14UnloadMaterialEiii	KItemList::UnloadMaterial(int,int,int)
08075650	129	_ZN9KItemList13GetEquipPlaceEi	KItemList::GetEquipPlace(int)
080756e0	170	_ZN9KItemList3FitEP5KItemi	KItemList::Fit(KItem *,int)
08075790	43	_ZN9KItemList3FitEii	KItemList::Fit(int,int)
080757c0	127	_ZN9KItemList8SearchIDEi	KItemList::SearchID(int)
08075840	14	_ZN9KItemList17GetEquipmentMoneyEv	KItemList::GetEquipmentMoney(void)
08075850	33	_ZN9KItemList12SetRoomMoneyEii	KItemList::SetRoomMoney(int,int)
08075880	284	_ZN9KItemList24CheckCanPlaceInEquipmentEiiPiS0_	KItemList::CheckCanPlaceInEquipment(int,int,int *,int *)
080759a0	315	_ZN9KItemList21GetItemCount_SameGDPLEiiii13ITEM_POSITIONi	KItemList::GetItemCount_SameGDPL(int,int,int,int,ITEM_POSITION,int)
08075ae0	62	_ZN9KItemList20GetItemCount_SameGDPEiii13ITEM_POSITIONi	KItemList::GetItemCount_SameGDP(int,int,int,ITEM_POSITION,int)
08075b20	55	_ZN9KItemList19GetItemCount_SameGDEii13ITEM_POSITIONi	KItemList::GetItemCount_SameGD(int,int,ITEM_POSITION,int)
08075b60	48	_ZN9KItemList18GetItemCount_SameGEi13ITEM_POSITIONi	KItemList::GetItemCount_SameG(int,ITEM_POSITION,int)
08075b90	71	_ZN9KItemList16GetEquipmentCoinEv	KItemList::GetEquipmentCoin(void)
08075be0	10	_ZN9KItemList18_CheckImmediaSkillEii	KItemList::_CheckImmediaSkill(int,int)
08075bf0	7	_ZN9KItemList15_SetHandIconRefEv	KItemList::_SetHandIconRef(void)
08075c00	104	_Z41__static_initialization_and_destruction_0ii_6	_Z41__static_initialization_and_destruction_0ii_6
08075c70	16	_GLOBAL__I_g_nEquipPower	`global constructor keyed to'g_nEquipPower
08075c80	37	__tcf_0_2	__tcf_0_2
08075cb0	140	_ZN9KItemList24_CheckIsImmediaItemSkillEiii	KItemList::_CheckIsImmediaItemSkill(int,int,int)
08075d40	140	_ZN9KItemList12SyncBoxParamEii	KItemList::SyncBoxParam(int,int)
08075dd0	77	_ZN9KItemList13SendMoneySyncEv	KItemList::SendMoneySync(void)
08075e20	28	_ZN9KItemList14TradeMoveMoneyEi	KItemList::TradeMoveMoney(int)
08075e40	137	_ZN9KItemList24_CheckImmediaSameGDPItemEii	KItemList::_CheckImmediaSameGDPItem(int,int)
08075ed0	124	_ZN9KItemList21_CheckImmediaExchangeEP7ItemPosS1_	KItemList::_CheckImmediaExchange(ItemPos *,ItemPos *)
